market_slug,timestamp_ms,timestamp_et,time_till_end,seconds_till_end,oracle_btc_price,binance_btc_price,lag,binance_ret1s_x100,binance_ret5s_x100,binance_volume_1s,binance_volume_5s,binance_atr_5s,binance_atr_30s,binance_rvol_30s,binance_volma_30s,binance_volume_spike,binance_vwap_30s,binance_p_vwap_5s,binance_p_vwap_30s,lat_dir_raw_x1000,lat_dir_norm_x1000,up_bid_1_price,up_bid_1_size,up_bid_2_price,up_bid_2_size,up_bid_3_price,up_bid_3_size,up_bid_4_price,up_bid_4_size,up_bid_5_price,up_bid_5_size,up_ask_1_price,up_ask_1_size,up_ask_2_price,up_ask_2_size,up_ask_3_price,up_ask_3_size,up_ask_4_price,up_ask_4_size,up_ask_5_price,up_ask_5_size,down_bid_1_price,down_bid_1_size,down_bid_2_price,down_bid_2_size,down_bid_3_price,down_bid_3_size,down_bid_4_price,down_bid_4_size,down_bid_5_price,down_bid_5_size,down_ask_1_price,down_ask_1_size,down_ask_2_price,down_ask_2_size,down_ask_3_price,down_ask_3_size,down_ask_4_price,down_ask_4_size,down_ask_5_price,down_ask_5_size,pm_up_bid_depth5,pm_up_ask_depth5,pm_up_total_depth5,pm_down_bid_depth5,pm_down_ask_depth5,pm_down_total_depth5,pm_up_spread,pm_down_spread,pm_up_imbalance,pm_down_imbalance,pm_up_microprice,pm_down_microprice,pm_up_bid_slope,pm_up_ask_slope,pm_down_bid_slope,pm_down_ask_slope,pm_up_bid_eatflow,pm_up_ask_eatflow,pm_down_bid_eatflow,pm_down_ask_eatflow
btc-updown-15m-1770302700,1770303485724,2026-02-05 09:58:05.724,1:55,115,,73040.0,,,,193616.6337215,1305390.4256112,,,,,,,,,,,0.001,11127.96,,,,,,,,,0.002,355.64,0.003,3130.1,0.004,350.03,0.005,174.21,0.006,2222.0,0.01,3899.85,,,,,,,,,0.02,1548.49,0.03,2377.14,0.04,3697.0,0.05,1970.37,0.06,475.78,11127.96,6231.98,17359.94,3899.85,10068.779999999999,13968.63,0.001,0.01,0.2820274724451813,-0.4416274180073492,0.00196903061757637,0.017157868268133043,,0.5593310633217693,,0.38988139575996306,,,,
btc-updown-15m-1770302700,1770303485725,2026-02-05 09:58:05.725,1:55,115,,73040.0,,,,193616.6337215,1305390.4256112,,,,,,,,,,,0.001,11127.96,,,,,,,,,0.002,355.64,0.003,3130.1,0.004,350.03,0.005,174.21,0.006,2222.0,0.998,355.64,0.997,3130.1,0.996,350.03,0.995,174.21,0.994,2222.0,0.999,11127.96,,,,,,,,,11127.96,6231.98,17359.94,6231.98,11127.96,17359.94,0.001,0.0010000000000000009,0.2820274724451813,-0.2820274724451813,0.00196903061757637,0.9980309693824236,,0.5593310633217693,0.5593310633217693,,,,,
btc-updown-15m-1770302700,1770303485936,2026-02-05 09:58:05.936,1:55,115,,73040.0,,,,193616.6337215,1305390.4256112,,,,,,,,,,,0.001,10383.96,,,,,,,,,0.002,3355.64,0.003,3130.1,0.004,350.03,0.005,174.21,0.006,2222.0,0.998,355.64,0.997,3130.1,0.996,350.03,0.995,174.21,0.994,2222.0,0.999,11127.96,,,,,,,,,10383.96,9231.98,19615.94,6231.98,11127.96,17359.94,0.001,0.0010000000000000009,0.058726729384368,-0.2820274724451813,0.0017557687268916129,0.9980309693824236,,0.7025296848563364,0.5593310633217693,,-3511.0032977233222,14157.271361787589,,
btc-updown-15m-1770302700,1770303485937,2026-02-05 09:58:05.937,1:55,115,,73040.0,,,,193616.6337215,1305390.4256112,,,,,,,,,,,0.001,10383.96,,,,,,,,,0.002,3355.64,0.003,3130.1,0.004,350.03,0.005,174.21,0.006,2222.0,0.998,3355.64,0.997,3130.1,0.996,350.03,0.995,174.21,0.994,2222.0,0.999,10383.96,,,,,,,,,10383.96,9231.98,19615.94,9231.98,10383.96,19615.94,0.001,0.0010000000000000009,0.058726729384368,-0.058726729384368,0.0017557687268916129,0.9982442312731084,,0.7025296848563364,0.7025296848563364,,-3511.0032977233222,14157.271361787589,14153.576887991028,-3510.087068221775
btc-updown-15m-1770302700,1770303486106,2026-02-05 09:58:06.106,1:54,114,,69381.77,,,,132858.9215002,1375362.2188895,,,,132858.9215002,1.0,69381.77,0.0,0.0,,,0.001,10383.96,,,,,,,,,0.002,3355.64,0.003,3130.1,0.004,350.03,0.005,174.21,0.006,2222.0,0.998,3355.64,0.997,3130.1,0.996,350.03,0.995,174.21,0.994,2222.0,0.999,10383.96,,,,,,,,,10383.96,9231.98,19615.94,9231.98,10383.96,19615.94,0.001,0.0010000000000000009,0.058726729384368,-0.058726729384368,0.0017557687268916129,0.9982442312731084,,0.7025296848563364,0.7025296848563364,,-3511.0032977233222,14157.271361787589,14153.576887991028,-3510.087068221775
btc-updown-15m-1770302700,1770303486261,2026-02-05 09:58:06.261,1:54,114,,69381.77,,,,132858.9215002,1375362.2188895,,,,132858.9215002,1.0,69381.77,0.0,0.0,,,0.001,9329.44,,,,,,,,,0.002,3355.64,0.003,3130.1,0.004,350.03,0.005,174.21,0.006,2222.0,0.998,3355.64,0.997,3130.1,0.996,350.03,0.995,174.21,0.994,2222.0,0.999,10383.96,,,,,,,,,9329.44,9231.98,18561.42,9231.98,10383.96,19615.94,0.001,0.0010000000000000009,0.005250675864238887,-0.058726729384368,0.0017354656021089344,0.9982442312731084,,0.7025296848563364,0.7025296848563364,,-3349.9447696461534,5587.835725451187,14153.576887991028,-3510.087068221775
btc-updown-15m-1770302700,1770303486262,2026-02-05 09:58:06.262,1:54,114,,69381.77,,,,132858.9215002,1375362.2188895,,,,132858.9215002,1.0,69381.77,0.0,0.0,,,0.001,9329.44,,,,,,,,,0.002,3355.64,0.003,3130.1,0.004,350.03,0.005,174.21,0.006,2222.0,0.998,3355.64,0.997,3130.1,0.996,350.03,0.995,174.21,0.994,2222.0,0.999,9329.44,,,,,,,,,9329.44,9231.98,18561.42,9231.98,9329.44,18561.42,0.001,0.0010000000000000009,0.005250675864238887,-0.005250675864238887,0.0017354656021089344,0.998264534397891,,0.7025296848563364,0.7025296848563364,,-3349.9447696461534,5587.835725451187,5587.917614609068,-3349.9938627422307
btc-updown-15m-1770302700,1770303487098,2026-02-05 09:58:07.098,1:53,113,,69381.77,,,,132858.9215002,1375362.2188895,,,,132858.9215002,1.0,69381.77,0.0,0.0,,,0.001,9229.34,,,,,,,,,0.002,3355.64,0.003,3130.1,0.004,350.03,0.005,174.21,0.006,2222.0,0.998,3355.64,0.997,3130.1,0.996,350.03,0.995,174.21,0.994,2222.0,0.999,9329.44,,,,,,,,,9229.34,9231.98,18461.32,9231.98,9329.44,18561.42,0.001,0.0010000000000000009,-0.00014300169218665936,-0.005250675864238887,0.0017333615150759082,0.998264534397891,,0.7025296848563364,0.7025296848563364,,-1382.6233870654373,2184.6763234329746,5587.917614609068,-3349.9938627422307
btc-updown-15m-1770302700,1770303487104,2026-02-05 09:58:07.104,1:53,113,,69381.77,,,,132858.9215002,1375362.2188895,,,,132858.9215002,1.0,69381.77,0.0,0.0,,,0.001,9229.34,,,,,,,,,0.002,3355.64,0.003,3130.1,0.004,350.03,0.005,174.21,0.006,2222.0,0.998,3355.64,0.997,3130.1,0.996,350.03,0.995,174.21,0.994,2222.0,0.999,9229.34,,,,,,,,,9229.34,9231.98,18461.32,9231.98,9229.34,18461.32,0.001,0.0010000000000000009,-0.00014300169218665936,0.00014300169218665936,0.0017333615150759082,0.9982666384849241,,0.7025296848563364,0.7025296848563364,,-1382.6233870654373,2184.6763234329746,2174.7480995665856,-1376.3400789330362
btc-updown-15m-1770302700,1770303487105,2026-02-05 09:58:07.105,1:53,113,,69378.3,,-0.5001313745672911,-0.5001313745672911,55954.592813,1351698.2039917998,3.4799999999959255,3.4799999999959255,,94406.7571566,0.5926969053728185,69380.74167086919,-0.0035192343154411,-0.0035192343154411,,,0.001,9229.34,,,,,,,,,0.002,3355.64,0.003,3130.1,0.004,350.03,0.005,174.21,0.006,2222.0,0.998,3355.64,0.997,3130.1,0.996,350.03,0.995,174.21,0.994,2222.0,0.999,9229.34,,,,,,,,,9229.34,9231.98,18461.32,9231.98,9229.34,18461.32,0.001,0.0010000000000000009,-0.00014300169218665936,0.00014300169218665936,0.0017333615150759082,0.9982666384849241,,0.7025296848563364,0.7025296848563364,,-1382.6233870654373,2184.6763234329746,2174.7480995665856,-1376.3400789330362
