market_slug,timestamp_ms,timestamp_et,time_till_end,seconds_till_end,oracle_btc_price,binance_btc_price,lag,binance_ret1s_x100,binance_ret5s_x100,binance_volume_1s,binance_volume_5s,binance_atr_5s,binance_atr_30s,binance_rvol_30s,binance_volma_30s,binance_volume_spike,binance_vwap_30s,binance_p_vwap_5s,binance_p_vwap_30s,lat_dir_raw_x1000,lat_dir_norm_x1000,up_bid_1_price,up_bid_1_size,up_bid_2_price,up_bid_2_size,up_bid_3_price,up_bid_3_size,up_bid_4_price,up_bid_4_size,up_bid_5_price,up_bid_5_size,up_ask_1_price,up_ask_1_size,up_ask_2_price,up_ask_2_size,up_ask_3_price,up_ask_3_size,up_ask_4_price,up_ask_4_size,up_ask_5_price,up_ask_5_size,down_bid_1_price,down_bid_1_size,down_bid_2_price,down_bid_2_size,down_bid_3_price,down_bid_3_size,down_bid_4_price,down_bid_4_size,down_bid_5_price,down_bid_5_size,down_ask_1_price,down_ask_1_size,down_ask_2_price,down_ask_2_size,down_ask_3_price,down_ask_3_size,down_ask_4_price,down_ask_4_size,down_ask_5_price,down_ask_5_size,pm_up_bid_depth5,pm_up_ask_depth5,pm_up_total_depth5,pm_down_bid_depth5,pm_down_ask_depth5,pm_down_total_depth5,pm_up_spread,pm_down_spread,pm_up_imbalance,pm_down_imbalance,pm_up_microprice,pm_down_microprice,pm_up_bid_slope,pm_up_ask_slope,pm_down_bid_slope,pm_down_ask_slope,pm_up_bid_eatflow,pm_up_ask_eatflow,pm_down_bid_eatflow,pm_down_ask_eatflow
btc-updown-15m-1770208200,1770208200017,2026-02-04 07:30:00.017,15:00,900,,76094.59,,,-3.3381502890178,37427.571794,756065.8027588,6.359999999996944,3.6944827586186624,0.027476237935146034,74862.12325057667,0.4999533832178838,76108.21669050425,-0.005669616841286196,-0.0179043618373953,,,0.1,3150.3,0.09,47.56,0.08,156.75,0.07,121.41,0.06,263.0,0.19,69.18,0.2,44.0,0.21,200.0,0.34,780.84,0.35,16.0,0.85,5.0,0.81,76.18,0.8,44.0,0.79,200.0,0.66,780.84,0.9,3150.3,0.91,47.56,0.92,156.75,0.93,121.41,0.94,263.0,3739.02,1110.02,4849.04,1106.02,3739.02,4845.04,0.09,0.050000000000000044,0.5421691716298483,-0.5434423658009016,0.1880660852063066,0.85007923176877,0.8552668881150676,0.10196212680852598,0.0733983110612828,0.8552668881150676,-544.7977444296992,-226.69954667070857,-200.23004806914014,-669.8391931233424
btc-updown-15m-1770208200,1770208200017,2026-02-04 07:30:00.017,15:00,900,,76094.59,,,-3.3381502890178,37427.571794,756065.8027588,6.359999999996944,3.6944827586186624,0.027476237935146034,74862.12325057667,0.4999533832178838,76108.21669050425,-0.005669616841286196,-0.0179043618373953,,,0.1,3150.3,0.09,47.56,0.08,156.75,0.07,121.41,0.06,263.0,0.19,69.18,0.2,44.0,0.21,200.0,0.34,780.84,0.35,16.0,0.81,69.18,0.8,44.0,0.79,200.0,0.66,780.84,0.65,16.0,0.9,3150.3,0.91,47.56,0.92,156.75,0.93,121.41,0.94,263.0,3739.02,1110.02,4849.04,1110.02,3739.02,4849.04,0.09,0.08999999999999997,0.5421691716298483,-0.5421691716298483,0.1880660852063066,0.8119339147936936,0.8552668881150676,0.10196212680852598,0.10196212680852598,0.8552668881150676,-544.7977444296992,-226.69954667070857,-226.59138940877054,-544.5378240495622
btc-updown-15m-1770208200,1770208200017,2026-02-04 07:30:00.017,15:00,900,,76094.59,,,-3.3381502890178,37427.571794,756065.8027588,6.359999999996944,3.6944827586186624,0.027476237935146034,74862.12325057667,0.4999533832178838,76108.21669050425,-0.005669616841286196,-0.0179043618373953,,,0.1,3150.3,0.09,47.56,0.08,156.75,0.07,121.41,0.06,263.0,0.19,51.44,0.2,44.0,0.21,200.0,0.34,780.84,0.35,16.0,0.81,69.18,0.8,44.0,0.79,200.0,0.66,780.84,0.65,16.0,0.9,3150.3,0.91,47.56,0.92,156.75,0.93,121.41,0.94,263.0,3739.02,1092.28,4831.3,1110.02,3739.02,4849.04,0.09,0.08999999999999997,0.5478318465009417,-0.5421691716298483,0.18855403624279296,0.8119339147936936,0.8552668881150676,0.0873768630754019,0.10196212680852598,0.8552668881150676,-544.0713318980179,-279.40243218130365,-226.59138940877054,-544.5378240495622
btc-updown-15m-1770208200,1770208200018,2026-02-04 07:30:00.018,15:00,900,,76094.59,,,-3.3381502890178,37427.571794,756065.8027588,6.359999999996944,3.6944827586186624,0.027476237935146034,74862.12325057667,0.4999533832178838,76108.21669050425,-0.005669616841286196,-0.0179043618373953,,,0.1,3150.3,0.09,47.56,0.08,156.75,0.07,121.41,0.06,263.0,0.19,51.44,0.2,44.0,0.21,200.0,0.34,780.84,0.35,16.0,0.81,51.44,0.8,44.0,0.79,200.0,0.66,780.84,0.65,16.0,0.9,3150.3,0.91,47.56,0.92,156.75,0.93,121.41,0.94,263.0,3739.02,1092.28,4831.3,1092.28,3739.02,4831.3,0.09,0.08999999999999997,0.5478318465009417,-0.5478318465009417,0.18855403624279296,0.811445963757207,0.8552668881150676,0.0873768630754019,0.0873768630754019,0.8552668881150676,-544.0713318980179,-279.40243218130365,-279.41292006003107,-544.0917546055208
btc-updown-15m-1770208200,1770208200229,2026-02-04 07:30:00.229,15:00,900,,76094.59,,,-3.3381502890178,37427.571794,756065.8027588,6.359999999996944,3.596785714283864,0.027476237935146034,77437.46321860689,0.4833264190013756,76108.21899357825,-0.005669616841286196,-0.017907387347226855,,,0.1,3150.3,0.09,47.56,0.08,156.75,0.07,121.41,0.06,263.0,0.19,46.44,0.2,59.0,0.21,200.0,0.33,207.43,0.34,780.84,0.81,51.44,0.8,44.0,0.79,200.0,0.66,780.84,0.65,16.0,0.9,3150.3,0.91,47.56,0.92,156.75,0.93,121.41,0.94,263.0,3739.02,1293.71,5032.73,1092.28,3739.02,4831.3,0.09,0.08999999999999997,0.48588142022321884,-0.5478318465009417,0.18869254302820998,0.811445963757207,0.8552668881150676,0.08150203677794869,0.0873768630754019,0.8552668881150676,-439.0926772546128,1587.8939493389573,-279.41292006003107,-544.0917546055208
btc-updown-15m-1770208200,1770208200229,2026-02-04 07:30:00.229,15:00,900,,76094.59,,,-3.3381502890178,37427.571794,756065.8027588,6.359999999996944,3.596785714283864,0.027476237935146034,77437.46321860689,0.4833264190013756,76108.21899357825,-0.005669616841286196,-0.017907387347226855,,,0.1,3150.3,0.09,47.56,0.08,156.75,0.07,121.41,0.06,263.0,0.19,46.44,0.2,59.0,0.21,200.0,0.33,207.43,0.34,780.84,0.81,46.44,0.8,59.0,0.79,200.0,0.67,207.43,0.66,780.84,0.9,3150.3,0.91,47.56,0.92,156.75,0.93,121.41,0.94,263.0,3739.02,1293.71,5032.73,1293.71,3739.02,5032.73,0.09,0.08999999999999997,0.48588142022321884,-0.48588142022321884,0.18869254302820998,0.81130745697179,0.8552668881150676,0.08150203677794869,0.08150203677794869,0.8552668881150676,-439.0926772546128,1587.8939493389573,1587.7790942953168,-439.06091694175984
btc-updown-15m-1770208200,1770208200236,2026-02-04 07:30:00.236,15:00,900,,76071.77,,-2.998899133301386,-6.33604834471833,203925.5356206,855292.4939903,9.651999999996042,4.259655172411746,0.02923353653945933,81653.73229867333,2.497442919996362,76105.18468421315,-0.028084639684899937,-0.04390592356064982,,,0.1,3150.3,0.09,47.56,0.08,156.75,0.07,121.41,0.06,263.0,0.19,46.44,0.2,59.0,0.21,200.0,0.33,207.43,0.34,780.84,0.81,46.44,0.8,59.0,0.79,200.0,0.67,207.43,0.66,780.84,0.9,3150.3,0.91,47.56,0.92,156.75,0.93,121.41,0.94,263.0,3739.02,1293.71,5032.73,1293.71,3739.02,5032.73,0.09,0.08999999999999997,0.48588142022321884,-0.48588142022321884,0.18869254302820998,0.81130745697179,0.8552668881150676,0.08150203677794869,0.08150203677794869,0.8552668881150676,-439.0926772546128,1587.8939493389573,1587.7790942953168,-439.06091694175984
btc-updown-15m-1770208200,1770208200285,2026-02-04 07:30:00.285,15:00,900,,76071.77,,-2.998899133301386,-6.33604834471833,203925.5356206,855292.4939903,5.957499999996799,4.259655172411746,0.02923353653945933,81653.73229867333,2.497442919996362,76105.18468421315,-0.02376471002754066,-0.04390592356064982,,,0.1,3110.3,0.09,47.56,0.08,156.75,0.07,121.41,0.06,263.0,0.19,46.44,0.2,59.0,0.21,200.0,0.33,207.43,0.34,780.84,0.81,46.44,0.8,59.0,0.79,200.0,0.67,207.43,0.66,780.84,0.9,3150.3,0.91,47.56,0.92,156.75,0.93,121.41,0.94,263.0,3699.02,1293.71,4992.73,1293.71,3739.02,5032.73,0.09,0.08999999999999997,0.4817624826497728,-0.48588142022321884,0.18867597584850193,0.81130745697179,0.8537017912852594,0.08150203677794869,0.08150203677794869,0.8552668881150676,-466.4549613839502,1478.019157868872,1587.7790942953168,-439.06091694175984
btc-updown-15m-1770208200,1770208200286,2026-02-04 07:30:00.286,15:00,900,,76071.77,,-2.998899133301386,-6.33604834471833,203925.5356206,855292.4939903,5.957499999996799,4.259655172411746,0.02923353653945933,81653.73229867333,2.497442919996362,76105.18468421315,-0.02376471002754066,-0.04390592356064982,,,0.1,3110.3,0.09,47.56,0.08,156.75,0.07,121.41,0.06,263.0,0.19,46.44,0.2,59.0,0.21,200.0,0.33,207.43,0.34,780.84,0.81,46.44,0.8,59.0,0.79,200.0,0.67,207.43,0.66,780.84,0.9,3110.3,0.91,47.56,0.92,156.75,0.93,121.41,0.94,263.0,3699.02,1293.71,4992.73,1293.71,3699.02,4992.73,0.09,0.08999999999999997,0.4817624826497728,-0.4817624826497728,0.18867597584850193,0.8113240241514981,0.8537017912852594,0.08150203677794869,0.08150203677794869,0.8537017912852594,-466.4549613839502,1478.019157868872,1477.9321011480636,-466.4274867472875
btc-updown-15m-1770208200,1770208200432,2026-02-04 07:30:00.432,15:00,900,,76071.77,,-2.998899133301386,-6.33604834471833,203925.5356206,855292.4939903,5.957499999996799,4.259655172411746,0.02923353653945933,81653.73229867333,2.497442919996362,76105.18468421315,-0.02376471002754066,-0.04390592356064982,,,0.01,62.13,,,,,,,,,0.19,63.44,0.2,59.0,0.21,200.0,0.33,207.43,0.34,780.84,0.81,46.44,0.8,59.0,0.79,200.0,0.67,207.43,0.66,780.84,0.9,3110.3,0.91,47.56,0.92,156.75,0.93,121.41,0.94,263.0,62.13,1310.71,1372.8400000000001,1293.71,3699.02,4992.73,0.18,0.08999999999999997,-0.909486903062265,-0.4817624826497728,0.09906108146850363,0.8113240241514981,,0.0934150193406627,0.08150203677794869,0.8537017912852594,-6703.961415748149,350.3552919603205,1477.9321011480636,-466.4274867472875
